timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741029052035,5,HTTP Request,201,Created,Thread Group 1-4,text,true,,280,222,4,4,http://localhost:3001/character,5,0,0
1741029052034,9,HTTP Request,201,Created,Thread Group 1-3,text,true,,287,229,5,5,http://localhost:3001/character,9,0,1
1741029052042,14,HTTP Request,200,OK,Thread Group 1-4,text,true,,277,230,10,10,http://localhost:3001/character/268544,14,0,0
1741029052056,1,Debug Sampler,200,OK,Thread Group 1-4,text,true,,368,0,10,10,null,0,0,0
1741029052034,23,HTTP Request,201,Created,Thread Group 1-1,text,true,,282,224,9,9,http://localhost:3001/character,23,0,1
1741029052043,23,HTTP Request,200,OK,Thread Group 1-3,text,true,,276,229,12,12,http://localhost:3001/character/268545,23,0,0
1741029052067,0,Debug Sampler,200,OK,Thread Group 1-3,text,true,,366,0,13,13,null,0,0,0
1741029052034,33,HTTP Request,201,Created,Thread Group 1-2,text,true,,280,222,12,12,http://localhost:3001/character,33,0,1
1741029052057,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,282,235,14,14,http://localhost:3001/character/268546,19,0,0
1741029052076,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,370,0,15,15,null,0,0,0
1741029052041,35,HTTP Request,201,Created,Thread Group 1-5,text,true,,283,225,14,14,http://localhost:3001/character,35,0,1
1741029052068,16,HTTP Request,200,OK,Thread Group 1-2,text,true,,277,230,15,15,http://localhost:3001/character/268547,16,0,0
1741029052085,0,Debug Sampler,200,OK,Thread Group 1-2,text,true,,367,0,15,15,null,0,0,0
1741029052044,41,HTTP Request,201,Created,Thread Group 1-6,text,true,,287,229,16,16,http://localhost:3001/character,41,0,0
1741029052074,30,HTTP Request,201,Created,Thread Group 1-15,text,true,,280,222,21,21,http://localhost:3001/character,30,0,0
1741029052074,30,HTTP Request,201,Created,Thread Group 1-16,text,true,,287,229,21,21,http://localhost:3001/character,30,0,0
1741029052067,37,HTTP Request,201,Created,Thread Group 1-14,text,true,,283,225,21,21,http://localhost:3001/character,37,0,0
1741029052064,40,HTTP Request,201,Created,Thread Group 1-12,text,true,,282,224,21,21,http://localhost:3001/character,40,0,0
1741029052064,39,HTTP Request,201,Created,Thread Group 1-13,text,true,,280,222,20,20,http://localhost:3001/character,39,0,0
1741029052077,17,HTTP Request,200,OK,Thread Group 1-5,text,true,,278,231,18,18,http://localhost:3001/character/268548,17,0,0
1741029052105,0,Debug Sampler,200,OK,Thread Group 1-5,text,true,,370,0,21,21,null,0,0,0
1741029052057,46,HTTP Request,201,Created,Thread Group 1-11,text,true,,287,229,20,20,http://localhost:3001/character,46,0,1
1741029052054,49,HTTP Request,201,Created,Thread Group 1-10,text,true,,280,222,20,20,http://localhost:3001/character,49,0,0
1741029052052,50,HTTP Request,201,Created,Thread Group 1-9,text,true,,282,224,20,20,http://localhost:3001/character,50,0,1
1741029052053,49,HTTP Request,201,Created,Thread Group 1-8,text,true,,281,223,20,20,http://localhost:3001/character,49,0,0
1741029052085,17,HTTP Request,200,OK,Thread Group 1-6,text,true,,277,230,20,20,http://localhost:3001/character/268549,17,0,0
1741029052044,50,HTTP Request,201,Created,Thread Group 1-7,text,true,,282,224,18,18,http://localhost:3001/character,50,0,1
1741029052106,0,Debug Sampler,200,OK,Thread Group 1-6,text,true,,369,0,22,22,null,0,0,0
1741029052076,31,HTTP Request,201,Created,Thread Group 1-17,text,true,,280,222,21,21,http://localhost:3001/character,31,0,1
1741029052105,11,HTTP Request,200,OK,Thread Group 1-15,text,true,,278,231,24,24,http://localhost:3001/character/268559,11,0,0
1741029052116,0,Debug Sampler,200,OK,Thread Group 1-15,text,true,,368,0,24,24,null,0,0,0
1741029052105,20,HTTP Request,200,OK,Thread Group 1-16,text,true,,282,235,26,26,http://localhost:3001/character/268558,20,0,0
1741029052125,0,Debug Sampler,200,OK,Thread Group 1-16,text,true,,370,0,26,26,null,0,0,0
1741029052105,28,HTTP Request,200,OK,Thread Group 1-12,text,true,,282,235,27,27,http://localhost:3001/character/268556,28,0,0
1741029052133,0,Debug Sampler,200,OK,Thread Group 1-12,text,true,,375,0,27,27,null,0,0,0
1741029052105,35,HTTP Request,200,OK,Thread Group 1-13,text,true,,277,230,28,28,http://localhost:3001/character/268555,35,0,0
1741029052141,0,Debug Sampler,200,OK,Thread Group 1-13,text,true,,370,0,28,28,null,0,0,0
1741029052105,43,HTTP Request,200,OK,Thread Group 1-14,text,true,,278,231,31,31,http://localhost:3001/character/268557,43,0,0
1741029052148,0,Debug Sampler,200,OK,Thread Group 1-14,text,true,,368,0,31,31,null,0,0,0
1741029052105,51,HTTP Request,200,OK,Thread Group 1-10,text,true,,278,231,31,31,http://localhost:3001/character/268553,51,0,0
1741029052156,0,Debug Sampler,200,OK,Thread Group 1-10,text,true,,370,0,31,31,null,0,0,0
1741029052105,60,HTTP Request,200,OK,Thread Group 1-11,text,true,,278,231,35,35,http://localhost:3001/character/268554,60,0,0
1741029052165,0,Debug Sampler,200,OK,Thread Group 1-11,text,true,,368,0,35,35,null,0,0,0
1741029052106,67,HTTP Request,200,OK,Thread Group 1-9,text,true,,282,235,37,37,http://localhost:3001/character/268552,67,0,0
1741029052173,0,Debug Sampler,200,OK,Thread Group 1-9,text,true,,374,0,37,37,null,0,0,0
1741029052106,75,HTTP Request,200,OK,Thread Group 1-7,text,true,,276,229,36,36,http://localhost:3001/character/268550,75,0,0
1741029052181,0,Debug Sampler,200,OK,Thread Group 1-7,text,true,,370,0,36,36,null,0,0,0
1741029052106,84,HTTP Request,200,OK,Thread Group 1-8,text,true,,282,235,40,40,http://localhost:3001/character/268551,84,0,0
1741029052190,0,Debug Sampler,200,OK,Thread Group 1-8,text,true,,370,0,40,40,null,0,0,0
1741029052077,114,HTTP Request,201,Created,Thread Group 1-18,text,true,,283,225,39,39,http://localhost:3001/character,114,0,0
1741029052107,93,HTTP Request,200,OK,Thread Group 1-17,text,true,,277,230,41,41,http://localhost:3001/character/268560,93,0,0
1741029052200,0,Debug Sampler,200,OK,Thread Group 1-17,text,true,,371,0,41,41,null,0,0,0
1741029052085,116,HTTP Request,201,Created,Thread Group 1-20,text,true,,280,222,40,40,http://localhost:3001/character,116,0,0
1741029052201,10,HTTP Request,200,OK,Thread Group 1-20,text,true,,278,231,45,45,http://localhost:3001/character/268562,10,0,0
1741029052211,0,Debug Sampler,200,OK,Thread Group 1-20,text,true,,369,0,45,45,null,0,0,0
1741029052191,28,HTTP Request,200,OK,Thread Group 1-18,text,true,,282,235,45,45,http://localhost:3001/character/268561,28,0,0
1741029052219,0,Debug Sampler,200,OK,Thread Group 1-18,text,true,,375,0,45,45,null,0,0,0
1741029052085,135,HTTP Request,201,Created,Thread Group 1-19,text,true,,287,229,46,46,http://localhost:3001/character,135,0,0
1741029052088,133,HTTP Request,201,Created,Thread Group 1-21,text,true,,280,222,46,46,http://localhost:3001/character,133,0,0
1741029052220,8,HTTP Request,200,OK,Thread Group 1-19,text,true,,275,228,48,48,http://localhost:3001/character/268563,8,0,0
1741029052228,0,Debug Sampler,200,OK,Thread Group 1-19,text,true,,371,0,49,49,null,0,0,0
1741029052093,136,HTTP Request,201,Created,Thread Group 1-22,text,true,,281,223,48,48,http://localhost:3001/character,136,0,1
1741029052221,17,HTTP Request,200,OK,Thread Group 1-21,text,true,,278,231,49,49,http://localhost:3001/character/268564,17,0,0
1741029052238,0,Debug Sampler,200,OK,Thread Group 1-21,text,true,,371,0,49,49,null,0,0,0
1741029052097,141,HTTP Request,201,Created,Thread Group 1-24,text,true,,283,225,48,48,http://localhost:3001/character,141,0,0
1741029052229,19,HTTP Request,200,OK,Thread Group 1-22,text,true,,276,229,53,53,http://localhost:3001/character/268565,19,0,0
1741029052248,1,Debug Sampler,200,OK,Thread Group 1-22,text,true,,375,0,53,53,null,0,0,0
1741029052097,152,HTTP Request,201,Created,Thread Group 1-23,text,true,,280,222,53,53,http://localhost:3001/character,152,0,0
1741029052238,20,HTTP Request,200,OK,Thread Group 1-24,text,true,,277,230,56,56,http://localhost:3001/character/268566,20,0,0
1741029052258,0,Debug Sampler,200,OK,Thread Group 1-24,text,true,,375,0,56,56,null,0,0,0
1741029052103,156,HTTP Request,201,Created,Thread Group 1-25,text,true,,283,225,55,55,http://localhost:3001/character,156,0,1
1741029052249,19,HTTP Request,200,OK,Thread Group 1-23,text,true,,277,230,58,58,http://localhost:3001/character/268567,19,0,0
1741029052268,0,Debug Sampler,200,OK,Thread Group 1-23,text,true,,371,0,58,58,null,0,0,0
1741029052106,162,HTTP Request,201,Created,Thread Group 1-26,text,true,,281,223,57,57,http://localhost:3001/character,162,0,0
1741029052259,17,HTTP Request,200,OK,Thread Group 1-25,text,true,,282,235,59,59,http://localhost:3001/character/268568,17,0,0
1741029052276,0,Debug Sampler,200,OK,Thread Group 1-25,text,true,,371,0,60,60,null,0,0,0
1741029052106,171,HTTP Request,201,Created,Thread Group 1-27,text,true,,283,225,59,59,http://localhost:3001/character,171,0,0
1741029052268,16,HTTP Request,200,OK,Thread Group 1-26,text,true,,277,230,60,60,http://localhost:3001/character/268569,16,0,0
1741029052284,0,Debug Sampler,200,OK,Thread Group 1-26,text,true,,371,0,60,60,null,0,0,0
1741029052113,171,HTTP Request,201,Created,Thread Group 1-28,text,true,,283,225,60,60,http://localhost:3001/character,171,0,0
1741029052284,8,HTTP Request,200,OK,Thread Group 1-28,text,true,,275,228,62,62,http://localhost:3001/character/268571,8,0,0
1741029052292,0,Debug Sampler,200,OK,Thread Group 1-28,text,true,,375,0,62,62,null,0,0,0
1741029052277,23,HTTP Request,200,OK,Thread Group 1-27,text,true,,278,231,64,64,http://localhost:3001/character/268570,23,0,0
1741029052300,0,Debug Sampler,200,OK,Thread Group 1-27,text,true,,368,0,64,64,null,0,0,0
1741029052113,188,HTTP Request,201,Created,Thread Group 1-29,text,true,,283,225,64,64,http://localhost:3001/character,188,0,0
1741029052301,9,HTTP Request,200,OK,Thread Group 1-29,text,true,,275,228,66,66,http://localhost:3001/character/268572,9,0,0
1741029052310,0,Debug Sampler,200,OK,Thread Group 1-29,text,true,,368,0,66,66,null,0,0,0
1741029052114,196,HTTP Request,201,Created,Thread Group 1-30,text,true,,287,229,65,65,http://localhost:3001/character,196,0,0
1741029052121,190,HTTP Request,201,Created,Thread Group 1-31,text,true,,283,225,66,66,http://localhost:3001/character,190,0,0
1741029052311,8,HTTP Request,200,OK,Thread Group 1-30,text,true,,275,228,67,67,http://localhost:3001/character/268573,8,0,0
1741029052319,0,Debug Sampler,200,OK,Thread Group 1-30,text,true,,371,0,67,67,null,0,0,0
1741029052124,195,HTTP Request,201,Created,Thread Group 1-33,text,true,,280,222,67,67,http://localhost:3001/character,195,0,0
1741029052312,15,HTTP Request,200,OK,Thread Group 1-31,text,true,,275,228,70,70,http://localhost:3001/character/268574,15,0,0
1741029052327,0,Debug Sampler,200,OK,Thread Group 1-31,text,true,,371,0,70,70,null,0,0,0
1741029052124,203,HTTP Request,201,Created,Thread Group 1-32,text,true,,283,225,69,69,http://localhost:3001/character,203,0,0
1741029052327,8,HTTP Request,200,OK,Thread Group 1-32,text,true,,275,228,72,72,http://localhost:3001/character/268576,8,0,0
1741029052335,0,Debug Sampler,200,OK,Thread Group 1-32,text,true,,375,0,72,72,null,0,0,0
1741029052319,23,HTTP Request,200,OK,Thread Group 1-33,text,true,,282,235,73,73,http://localhost:3001/character/268575,23,0,0
1741029052342,0,Debug Sampler,200,OK,Thread Group 1-33,text,true,,371,0,73,73,null,0,0,0
1741029052130,213,HTTP Request,201,Created,Thread Group 1-35,text,true,,280,222,72,72,http://localhost:3001/character,213,0,0
1741029052130,214,HTTP Request,201,Created,Thread Group 1-34,text,true,,287,229,73,73,http://localhost:3001/character,214,0,1
1741029052343,9,HTTP Request,200,OK,Thread Group 1-35,text,true,,278,231,75,75,http://localhost:3001/character/268577,9,0,0
1741029052352,0,Debug Sampler,200,OK,Thread Group 1-35,text,true,,369,0,75,75,null,0,0,0
1741029052133,219,HTTP Request,201,Created,Thread Group 1-36,text,true,,283,225,75,75,http://localhost:3001/character,219,0,0
1741029052344,16,HTTP Request,200,OK,Thread Group 1-34,text,true,,277,230,77,77,http://localhost:3001/character/268578,16,0,0
1741029052360,0,Debug Sampler,200,OK,Thread Group 1-34,text,true,,371,0,77,77,null,0,0,0
1741029052140,221,HTTP Request,201,Created,Thread Group 1-37,text,true,,280,222,77,77,http://localhost:3001/character,221,0,0
1741029052352,15,HTTP Request,200,OK,Thread Group 1-36,text,true,,276,229,77,77,http://localhost:3001/character/268579,15,0,0
1741029052367,0,Debug Sampler,200,OK,Thread Group 1-36,text,true,,375,0,77,77,null,0,0,0
1741029052143,224,HTTP Request,201,Created,Thread Group 1-38,text,true,,283,225,78,78,http://localhost:3001/character,224,0,0
1741029052361,14,HTTP Request,200,OK,Thread Group 1-37,text,true,,282,235,80,80,http://localhost:3001/character/268580,14,0,0
1741029052375,0,Debug Sampler,200,OK,Thread Group 1-37,text,true,,370,0,80,80,null,0,0,0
1741029052146,229,HTTP Request,201,Created,Thread Group 1-39,text,true,,283,225,80,80,http://localhost:3001/character,229,0,0
1741029052368,14,HTTP Request,200,OK,Thread Group 1-38,text,true,,278,231,82,82,http://localhost:3001/character/268581,14,0,0
1741029052382,0,Debug Sampler,200,OK,Thread Group 1-38,text,true,,370,0,82,82,null,0,0,0
1741029052146,236,HTTP Request,201,Created,Thread Group 1-41,text,true,,283,225,81,81,http://localhost:3001/character,236,0,1
1741029052375,16,HTTP Request,200,OK,Thread Group 1-39,text,true,,277,230,83,83,http://localhost:3001/character/268582,16,0,0
1741029052392,0,Debug Sampler,200,OK,Thread Group 1-39,text,true,,368,0,84,84,null,0,0,0
1741029052146,246,HTTP Request,201,Created,Thread Group 1-40,text,true,,281,223,83,83,http://localhost:3001/character,246,0,1
1741029052383,18,HTTP Request,200,OK,Thread Group 1-41,text,true,,275,228,86,86,http://localhost:3001/character/268583,18,0,0
1741029052401,0,Debug Sampler,200,OK,Thread Group 1-41,text,true,,370,0,86,86,null,0,0,0
1741029052154,247,HTTP Request,201,Created,Thread Group 1-42,text,true,,283,225,85,85,http://localhost:3001/character,247,0,0
1741029052393,16,HTTP Request,200,OK,Thread Group 1-40,text,true,,275,228,87,87,http://localhost:3001/character/268584,16,0,0
1741029052409,0,Debug Sampler,200,OK,Thread Group 1-40,text,true,,369,0,88,88,null,0,0,0
1741029052157,253,HTTP Request,201,Created,Thread Group 1-43,text,true,,287,229,88,88,http://localhost:3001/character,253,0,0
1741029052401,16,HTTP Request,200,OK,Thread Group 1-42,text,true,,277,230,89,89,http://localhost:3001/character/268585,16,0,0
1741029052417,0,Debug Sampler,200,OK,Thread Group 1-42,text,true,,369,0,89,89,null,0,0,0
1741029052159,258,HTTP Request,201,Created,Thread Group 1-44,text,true,,287,229,89,89,http://localhost:3001/character,258,0,0
1741029052410,16,HTTP Request,200,OK,Thread Group 1-43,text,true,,278,231,91,91,http://localhost:3001/character/268586,16,0,0
1741029052426,0,Debug Sampler,200,OK,Thread Group 1-43,text,true,,371,0,92,92,null,0,0,0
1741029052163,264,HTTP Request,201,Created,Thread Group 1-46,text,true,,281,223,91,91,http://localhost:3001/character,264,0,0
1741029052418,17,HTTP Request,200,OK,Thread Group 1-44,text,true,,277,230,93,93,http://localhost:3001/character/268587,17,0,0
1741029052435,0,Debug Sampler,200,OK,Thread Group 1-44,text,true,,370,0,93,93,null,0,0,0
1741029052163,273,HTTP Request,201,Created,Thread Group 1-45,text,true,,283,225,92,92,http://localhost:3001/character,273,0,0
1741029052427,17,HTTP Request,200,OK,Thread Group 1-46,text,true,,278,231,95,95,http://localhost:3001/character/268588,17,0,0
1741029052444,0,Debug Sampler,200,OK,Thread Group 1-46,text,true,,371,0,95,95,null,0,0,0
1741029052165,280,HTTP Request,201,Created,Thread Group 1-47,text,true,,282,224,94,94,http://localhost:3001/character,280,0,0
1741029052436,17,HTTP Request,200,OK,Thread Group 1-45,text,true,,276,229,97,97,http://localhost:3001/character/268589,17,0,0
1741029052453,0,Debug Sampler,200,OK,Thread Group 1-45,text,true,,371,0,98,98,null,0,0,0
1741029052172,281,HTTP Request,201,Created,Thread Group 1-49,text,true,,281,223,97,97,http://localhost:3001/character,281,0,0
1741029052445,15,HTTP Request,200,OK,Thread Group 1-47,text,true,,275,228,99,99,http://localhost:3001/character/268590,15,0,0
1741029052460,0,Debug Sampler,200,OK,Thread Group 1-47,text,true,,371,0,99,99,null,0,0,0
1741029052172,289,HTTP Request,201,Created,Thread Group 1-48,text,true,,280,222,98,98,http://localhost:3001/character,289,0,0
1741029052453,16,HTTP Request,200,OK,Thread Group 1-49,text,true,,278,231,100,100,http://localhost:3001/character/268591,16,0,0
1741029052469,0,Debug Sampler,200,OK,Thread Group 1-49,text,true,,367,0,100,100,null,0,0,0
1741029052173,296,HTTP Request,201,Created,Thread Group 1-50,text,true,,282,224,99,99,http://localhost:3001/character,296,0,1
1741029052461,16,HTTP Request,200,OK,Thread Group 1-48,text,true,,282,235,102,102,http://localhost:3001/character/268592,16,0,0
1741029052477,0,Debug Sampler,200,OK,Thread Group 1-48,text,true,,371,0,102,102,null,0,0,0
1741029052182,295,HTTP Request,201,Created,Thread Group 1-51,text,true,,280,222,101,101,http://localhost:3001/character,295,0,0
1741029052469,17,HTTP Request,200,OK,Thread Group 1-50,text,true,,278,231,105,105,http://localhost:3001/character/268593,17,0,0
1741029052486,0,Debug Sampler,200,OK,Thread Group 1-50,text,true,,370,0,105,105,null,0,0,0
1741029052183,303,HTTP Request,201,Created,Thread Group 1-52,text,true,,282,224,104,104,http://localhost:3001/character,303,0,0
1741029052477,18,HTTP Request,200,OK,Thread Group 1-51,text,true,,277,230,107,107,http://localhost:3001/character/268594,18,0,0
1741029052495,0,Debug Sampler,200,OK,Thread Group 1-51,text,true,,371,0,107,107,null,0,0,0
1741029052184,311,HTTP Request,201,Created,Thread Group 1-53,text,true,,287,229,106,106,http://localhost:3001/character,311,0,1
1741029052486,18,HTTP Request,200,OK,Thread Group 1-52,text,true,,278,231,109,109,http://localhost:3001/character/268595,18,0,0
1741029052504,0,Debug Sampler,200,OK,Thread Group 1-52,text,true,,367,0,109,109,null,0,0,0
1741029052189,315,HTTP Request,201,Created,Thread Group 1-54,text,true,,283,225,108,108,http://localhost:3001/character,315,0,1
1741029052495,17,HTTP Request,200,OK,Thread Group 1-53,text,true,,277,230,109,109,http://localhost:3001/character/268596,17,0,0
1741029052512,0,Debug Sampler,200,OK,Thread Group 1-53,text,true,,369,0,109,109,null,0,0,0
1741029052189,324,HTTP Request,201,Created,Thread Group 1-55,text,true,,281,223,108,108,http://localhost:3001/character,324,0,1
1741029052504,16,HTTP Request,200,OK,Thread Group 1-54,text,true,,278,231,112,112,http://localhost:3001/character/268597,16,0,0
1741029052521,0,Debug Sampler,200,OK,Thread Group 1-54,text,true,,374,0,112,112,null,0,0,0
1741029052192,329,HTTP Request,201,Created,Thread Group 1-56,text,true,,283,225,111,111,http://localhost:3001/character,329,0,0
1741029052513,17,HTTP Request,200,OK,Thread Group 1-55,text,true,,282,235,114,114,http://localhost:3001/character/268598,17,0,0
1741029052530,0,Debug Sampler,200,OK,Thread Group 1-55,text,true,,371,0,114,114,null,0,0,0
1741029052197,333,HTTP Request,201,Created,Thread Group 1-57,text,true,,280,222,113,113,http://localhost:3001/character,333,0,0
1741029052531,7,HTTP Request,200,OK,Thread Group 1-57,text,true,,275,228,115,115,http://localhost:3001/character/268600,7,0,0
1741029052538,0,Debug Sampler,200,OK,Thread Group 1-57,text,true,,371,0,115,115,null,0,0,0
