timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740313459621,5,HTTP Request,200,OK,Thread Group 1-4,text,true,,4619,158,16,16,http://localhost:3001/characters,5,0,0
1740313459621,6,HTTP Request,200,OK,Thread Group 1-7,text,true,,4619,158,18,18,http://localhost:3001/characters,6,0,1
1740313459626,3,HTTP Request,200,OK,Thread Group 1-4,text,true,,273,159,19,19,http://localhost:3001/character/2,3,0,0
1740313459621,10,HTTP Request,200,OK,Thread Group 1-9,text,true,,4619,158,24,24,http://localhost:3001/characters,10,0,1
1740313459629,4,HTTP Request,201,Created,Thread Group 1-4,text,true,,283,228,26,26,http://localhost:3001/character,4,0,0
1740313459628,6,HTTP Request,200,OK,Thread Group 1-7,text,true,,273,159,26,26,http://localhost:3001/character/2,6,0,0
1740313459621,14,HTTP Request,200,OK,Thread Group 1-2,text,true,,4663,158,27,27,http://localhost:3001/characters,14,0,1
1740313459633,3,HTTP Request,200,OK,Thread Group 1-4,text,true,,278,231,27,27,http://localhost:3001/character/1,3,0,0
1740313459634,5,HTTP Request,201,Created,Thread Group 1-7,text,true,,283,228,31,31,http://localhost:3001/character,5,0,0
1740313459632,9,HTTP Request,200,OK,Thread Group 1-9,text,true,,273,159,33,33,http://localhost:3001/character/2,9,0,0
1740313459621,24,HTTP Request,200,OK,Thread Group 1-5,text,true,,4707,158,36,36,http://localhost:3001/characters,24,0,2
1740313459636,11,HTTP Request,404,Not Found,Thread Group 1-4,text,false,,273,181,39,39,http://localhost:3001/character/3,11,0,0
1740313459639,9,HTTP Request,200,OK,Thread Group 1-7,text,true,,278,231,41,41,http://localhost:3001/character/1,9,0,0
1740313459641,10,HTTP Request,201,Created,Thread Group 1-9,text,true,,283,228,42,42,http://localhost:3001/character,10,0,0
1740313459635,16,HTTP Request,200,OK,Thread Group 1-2,text,true,,273,159,42,42,http://localhost:3001/character/2,16,0,0
1740313459621,30,HTTP Request,200,OK,Thread Group 1-6,text,true,,4751,158,42,42,http://localhost:3001/characters,30,0,2
1740313459647,5,HTTP Request,200,OK,Thread Group 1-4,text,true,,4751,158,42,42,http://localhost:3001/characters,5,0,0
1740313459646,7,HTTP Request,200,OK,Thread Group 1-5,text,true,,273,159,46,46,http://localhost:3001/character/2,7,0,0
1740313459648,5,HTTP Request,404,Not Found,Thread Group 1-7,text,false,,273,181,46,46,http://localhost:3001/character/3,5,0,0
1740313459621,36,HTTP Request,200,OK,Thread Group 1-11,text,true,,4751,158,49,49,http://localhost:3001/characters,36,0,2
1740313459653,5,HTTP Request,200,OK,Thread Group 1-4,text,true,,273,159,52,52,http://localhost:3001/character/2,5,0,0
1740313459654,9,HTTP Request,200,OK,Thread Group 1-7,text,true,,4751,158,53,53,http://localhost:3001/characters,9,0,0
1740313459653,12,HTTP Request,201,Created,Thread Group 1-5,text,true,,283,228,58,58,http://localhost:3001/character,12,0,0
1740313459651,16,HTTP Request,200,OK,Thread Group 1-9,text,true,,278,231,60,60,http://localhost:3001/character/1,16,0,0
1740313459651,17,HTTP Request,201,Created,Thread Group 1-2,text,true,,283,228,62,62,http://localhost:3001/character,17,0,0
1740313459651,18,HTTP Request,200,OK,Thread Group 1-6,text,true,,273,159,62,62,http://localhost:3001/character/2,18,0,0
1740313459623,46,HTTP Request,200,OK,Thread Group 1-13,text,true,,4839,158,62,62,http://localhost:3001/characters,46,0,0
1740313459659,11,HTTP Request,201,Created,Thread Group 1-4,text,true,,283,228,62,62,http://localhost:3001/character,11,0,0
1740313459663,8,HTTP Request,200,OK,Thread Group 1-7,text,true,,273,159,62,62,http://localhost:3001/character/2,8,0,0
1740313459666,5,HTTP Request,200,OK,Thread Group 1-5,text,true,,278,231,62,62,http://localhost:3001/character/1,5,0,0
1740313459668,4,HTTP Request,404,Not Found,Thread Group 1-9,text,false,,273,181,62,62,http://localhost:3001/character/3,4,0,0
1740313459669,3,HTTP Request,200,OK,Thread Group 1-2,text,true,,278,231,63,63,http://localhost:3001/character/1,3,0,0
1740313459669,4,HTTP Request,201,Created,Thread Group 1-6,text,true,,283,228,65,65,http://localhost:3001/character,4,0,0
1740313459657,16,HTTP Request,200,OK,Thread Group 1-11,text,true,,273,159,65,65,http://localhost:3001/character/2,16,0,0
